Soil_Moisture,Nutrient_Level,Crop_Health,Temperature,Humidity,Precipitation,Yield_Percentage,Future_Temperature,Future_Humidity,Future_Precipitation
80,185,3,32,75,2,75,20,76,3
44,125,8,26,64,7,91,26,68,6
80,186,6,31,73,2,77,22,76,4
71,120,7,26,69,6,86,28,66,7
72,120,6,27,64,6,89,27,67,8
77,186,7,29,75,3,78,23,75,3
53,128,8,27,65,7,90,28,69,6
71,176,4,31,74,2,75,21,76,3
63,120,7,26,67,6,87,28,67,6
49,120,7,26,68,6,90,26,67,7
44,141,8,25,62,6,89,27,67,7
77,175,8,31,72,4,85,21,74,6
48,131,7,25,66,6,88,28,66,7
68,156,4,29,71,3,87,21,74,3
48,120,8,25,62,7,92,26,63,8
45,120,9,25,63,7,86,27,63,7
76,171,7,32,69,7,76,21,75,3
51,120,7,25,65,8,87,27,66,8
49,120,7,26,67,6,88,28,67,8
46,120,7,27,65,7,87,28,65,7
67,190,7,27,68,6,86,24,67,7
57,120,8,25,62,5,87,27,65,6
68,120,8,25,65,8,89,27,65,7
74,144,7,31,74,6,88,20,74,6
54,138,7,25,66,6,88,28,68,7
49,126,6,25,64,7,88,27,67,6
73,165,3,32,73,3,80,22,76,3
73,194,9,29,75,2,85,22,75,7
80,175,4,31,75,2,82,21,74,3
80,160,3,33,75,2,75,19,76,3
72,134,7,25,64,5,84,26,76,3
57,130,8,25,64,6,90,26,68,8
51,123,7,28,62,8,86,27,68,7
45,120,8,25,63,7,90,28,68,8
43,120,6,28,64,5,88,28,65,6
70,120,6,29,67,3,86,27,68,6
46,130,8,25,64,7,88,28,67,6
52,120,7,27,63,5,87,24,63,6
53,138,7,25,66,6,88,28,65,6
45,125,8,27,64,7,86,27,69,7
67,162,3,30,71,4,75,23,74,3
67,122,6,28,62,6,86,26,67,7
69,136,4,28,74,5,90,22,76,6
71,120,7,26,70,6,91,27,66,6
70,132,8,32,74,6,87,22,76,3
45,120,7,26,62,6,89,26,67,7
78,197,4,32,75,2,77,20,76,3
79,187,3,30,74,6,76,20,75,4
43,121,7,25,62,6,87,27,66,7
43,120,6,25,64,6,88,26,74,6
73,182,3,31,70,3,79,21,76,4
48,138,8,27,63,7,87,27,64,6
78,163,5,28,75,3,77,20,76,3
45,120,8,27,61,6,86,26,69,8
54,140,7,27,65,7,88,28,66,6
60,161,7,28,67,6,86,24,76,7
49,120,7,27,63,6,89,23,68,6
40,124,8,27,61,6,89,28,67,7
42,120,8,27,62,8,90,27,66,6
80,177,4,32,75,2,75,20,76,3
43,126,7,25,66,6,89,28,67,6
53,120,9,25,63,7,89,25,65,7
74,174,5,33,75,2,78,21,76,4
73,134,6,27,67,7,89,22,76,6
67,120,6,28,68,7,84,27,67,6
55,134,8,25,64,8,92,27,67,6
79,165,3,32,74,3,76,21,76,3
80,179,4,31,73,3,79,23,76,3
79,183,6,32,75,4,75,21,75,3
69,180,3,31,74,3,88,22,76,4
79,171,7,29,70,3,80,21,76,7
35,123,7,27,66,5,90,22,68,7
49,120,7,25,62,7,87,25,65,6
59,169,8,27,71,7,86,27,67,4
71,122,7,32,65,8,86,26,68,6
67,192,7,33,73,4,90,24,76,7
79,184,3,32,74,2,81,21,76,3
69,168,7,31,71,4,80,24,74,3
55,120,7,26,63,7,88,26,69,7
72,120,6,26,63,6,89,28,66,7
50,131,8,25,63,7,89,27,69,7
56,120,7,26,68,7,86,28,68,8
48,121,7,25,66,7,91,27,68,8
54,124,7,26,66,7,90,27,68,7
42,122,6,26,66,7,87,27,68,7
46,131,7,26,63,6,85,27,65,6
65,169,5,31,73,3,78,21,76,3
78,181,3,32,74,2,80,20,75,3
80,175,5,31,73,2,75,22,75,3
51,126,7,25,74,7,87,26,67,7
43,127,7,25,60,7,89,28,68,6
44,131,7,27,69,7,88,26,68,7
48,138,8,25,61,6,92,28,69,7
75,169,4,30,75,3,75,20,74,3
77,165,7,32,72,6,89,22,68,4
48,120,7,25,65,7,87,27,65,7
78,120,8,26,66,6,88,27,69,7
52,123,6,26,61,6,88,26,69,6
51,179,7,25,73,5,88,26,66,6
42,129,7,26,61,6,86,27,66,6
48,123,7,25,63,7,86,26,67,6
51,121,9,25,64,7,91,26,66,7
72,179,8,32,73,4,86,21,75,5
42,120,8,25,63,6,90,27,66,7
80,164,5,31,75,3,79,22,76,5
71,128,7,27,71,7,86,23,73,4
45,134,7,31,60,6,85,26,68,7
78,183,7,33,73,6,80,20,76,4
71,183,6,32,75,2,77,20,76,4
80,178,3,31,75,3,81,21,76,3
74,164,7,32,75,2,75,22,68,3
79,170,4,31,74,2,75,22,76,3
48,124,7,25,64,7,89,28,67,7
50,120,6,26,64,6,89,27,68,6
43,120,7,26,61,6,86,28,67,6
80,167,3,33,75,3,80,21,76,3
41,120,8,25,64,7,88,26,67,8
72,120,8,31,69,4,86,26,68,6
80,176,4,31,75,3,75,20,76,3
41,125,7,25,64,6,85,27,67,7
51,120,8,25,64,7,91,28,67,6
80,175,3,30,75,2,81,22,76,3
70,160,3,28,74,4,80,23,76,4
46,124,7,27,62,6,90,27,68,8
50,130,8,25,64,7,88,28,67,6
43,120,7,27,66,6,88,27,66,7
47,123,7,25,68,6,88,28,66,7
51,124,8,27,65,7,88,27,68,6
73,165,4,34,74,2,75,21,76,3
80,190,3,31,75,4,76,22,76,3
48,120,7,25,63,7,84,25,68,6
63,143,7,30,66,4,86,26,67,6
80,187,3,30,72,2,86,19,76,5
45,122,8,26,66,6,90,26,68,7
80,160,4,32,75,2,77,21,76,3
39,123,7,26,65,7,87,26,65,6
47,120,8,25,63,8,88,27,65,5
44,120,7,26,65,7,90,27,67,7
43,125,8,25,64,7,87,28,66,7
48,127,8,25,63,8,89,27,65,6
73,174,3,26,73,3,85,23,75,3
46,120,8,25,64,6,85,27,67,6
42,126,7,25,63,7,89,27,65,6
47,158,8,28,67,7,85,28,71,7
53,125,6,26,65,7,86,26,68,6
76,186,7,31,72,6,86,22,76,6
54,131,8,25,63,7,89,25,64,7
80,185,6,31,74,2,75,21,76,3
75,133,8,30,71,5,83,25,73,7
74,186,8,26,75,5,85,22,73,7
48,120,7,25,60,8,88,28,66,7
77,167,4,27,75,3,76,23,75,4
50,120,7,26,65,7,86,26,65,6
35,120,6,25,66,7,88,27,65,8
43,120,7,25,66,7,76,20,66,6
51,138,8,25,63,8,85,27,68,7
76,189,3,31,74,2,75,21,76,3
79,169,3,31,75,5,75,20,76,3
76,123,7,32,65,8,86,21,75,4
51,120,8,26,63,6,87,27,67,7
80,187,3,32,75,4,75,22,76,5
75,131,7,31,65,7,89,27,67,7
80,178,7,32,73,3,80,22,76,4
44,120,8,25,65,7,90,28,68,7
68,185,3,32,71,3,86,22,76,3
44,125,8,26,65,7,89,26,69,7
74,134,6,25,64,6,86,27,67,7
41,121,6,26,67,7,85,27,66,6
75,129,8,25,65,7,88,27,65,6
80,192,6,29,75,5,88,26,73,3
74,187,6,30,69,6,85,28,65,6
37,120,7,25,60,8,90,26,68,8
49,132,8,26,64,7,90,27,67,8
64,137,7,25,65,7,90,26,67,6
79,162,6,31,74,3,77,23,76,3
57,120,9,26,62,6,89,28,69,6
73,169,4,31,71,3,87,23,76,3
48,132,7,26,61,6,87,26,71,5
80,131,7,30,72,5,84,21,76,3
80,173,4,30,75,3,75,21,76,3
71,174,3,32,72,3,78,21,76,4
76,166,4,31,75,2,78,20,76,3
70,183,7,26,72,6,84,22,74,6
67,124,7,26,64,6,87,26,66,7
52,120,7,25,65,6,90,27,68,6
77,167,5,26,63,6,84,28,76,6
80,126,7,33,74,5,79,20,76,4
73,183,3,32,70,3,76,20,76,4
80,167,3,31,75,2,75,20,76,3
80,157,3,33,75,3,75,22,76,3
67,173,7,32,72,3,88,21,76,5
80,167,3,32,75,2,75,20,76,3
47,122,9,25,63,7,88,27,67,6
75,156,3,30,75,2,75,22,76,3
54,128,7,25,63,8,91,28,66,7
53,142,7,25,63,7,90,27,67,7
54,120,7,25,65,7,90,27,65,7
50,186,8,26,64,7,88,25,68,6
55,120,8,25,61,7,92,28,67,7
48,126,8,25,62,7,89,27,68,7
78,170,7,30,75,6,87,22,75,4
44,120,9,25,65,7,88,28,66,7
42,120,7,25,61,7,86,27,66,7
80,197,3,30,75,3,77,20,75,3
54,122,6,25,65,7,90,27,68,8
80,173,4,31,75,2,76,20,76,3
75,180,4,33,75,3,75,22,76,3
51,128,8,25,63,6,87,27,67,7
74,127,7,31,74,6,87,24,68,5
78,129,7,25,74,3,77,23,74,6
56,120,6,26,64,7,86,21,66,6
41,120,7,25,60,6,87,27,66,6
80,179,8,31,75,6,88,21,76,7
79,190,3,33,73,2,79,22,76,6
72,124,7,25,74,3,87,25,67,7
47,120,8,28,64,6,88,28,69,7
58,128,8,26,67,6,89,27,66,7
79,176,7,31,63,2,89,21,75,3
65,187,4,31,74,3,78,23,74,3
42,130,8,27,62,7,87,27,66,6
50,130,8,26,62,6,89,27,68,7
79,120,6,31,64,5,89,27,66,6
47,120,7,26,67,7,89,27,69,7
52,123,7,29,64,6,86,26,67,7
54,128,8,26,63,6,87,27,69,7
76,120,8,26,66,7,88,21,68,6
79,172,3,30,71,2,76,22,76,3
51,120,8,25,60,7,91,27,66,7
77,176,7,29,74,5,88,27,75,3
43,132,7,25,63,7,89,28,68,7
80,189,7,30,72,3,87,22,75,3
44,120,8,25,64,7,92,27,68,7
75,187,3,33,75,4,80,21,76,3
46,167,7,28,67,7,87,27,67,7
80,172,3,29,73,2,75,20,76,3
77,173,6,26,74,7,87,22,75,6
80,181,4,30,70,4,75,23,76,3
80,184,3,32,75,2,77,20,76,3
53,125,8,25,66,7,89,27,68,8
69,130,7,32,72,6,85,22,75,4
54,141,6,25,61,7,88,28,66,8
80,180,4,32,75,2,75,22,76,3
75,142,7,26,67,7,88,22,75,3
78,167,8,30,72,4,78,22,75,3
40,136,6,26,67,8,86,25,69,8
80,120,7,26,61,6,87,27,66,7
47,120,7,25,65,6,90,28,67,6
80,183,4,33,75,2,75,20,76,3
76,181,6,26,73,6,86,21,75,3
74,173,7,27,72,2,79,21,76,3
49,131,7,25,65,7,92,28,67,6
51,135,7,25,74,6,88,28,68,6
80,173,3,31,74,2,75,20,76,3
78,191,5,33,75,4,77,21,76,3
47,120,6,27,65,7,86,27,68,8
59,176,7,30,63,5,76,22,75,7
80,191,3,31,75,2,76,22,76,3
65,131,8,32,67,8,88,23,76,7
52,131,8,26,63,6,91,25,67,7
49,120,6,25,67,6,92,27,66,6
77,120,9,25,66,6,88,25,67,5
80,182,4,32,75,2,75,20,76,3
74,181,7,31,71,2,84,22,74,6
54,120,7,25,69,6,88,23,65,7
56,120,7,27,68,6,89,27,68,6
40,131,7,25,65,6,88,25,68,7
74,186,7,31,73,6,89,21,76,7
73,172,7,32,73,2,75,22,75,3
51,120,8,25,64,7,87,27,66,7
53,120,6,25,65,6,89,28,66,6
68,183,4,31,75,4,76,21,76,3
77,188,4,32,75,3,77,22,75,6
49,136,7,28,65,6,87,21,69,6
49,134,7,28,63,7,88,27,69,6
73,131,8,26,62,6,88,25,66,8
68,179,7,28,65,5,89,22,67,7
48,130,9,25,65,6,88,28,66,8
78,136,8,32,71,3,87,21,74,7
71,161,7,29,74,6,87,24,76,8
75,126,6,29,72,7,79,23,74,4
47,130,7,26,67,6,88,27,76,6
52,120,8,25,62,8,90,27,67,6
40,124,7,25,65,6,89,27,66,8
80,178,4,31,75,2,75,19,76,3
73,177,6,30,75,5,89,21,75,4
52,122,8,27,64,7,87,26,67,6
74,136,8,30,73,5,87,24,76,3
52,120,7,27,64,8,86,27,69,8
77,166,3,31,75,3,76,23,73,4
80,162,3,30,75,3,78,20,76,3
69,187,3,32,75,4,75,21,76,3
40,120,7,25,63,7,88,28,66,6
51,125,8,26,66,7,88,28,68,8
80,171,4,31,75,3,76,20,76,3
67,151,7,26,66,2,84,23,72,4
80,185,3,32,75,3,75,21,76,3
48,125,7,25,64,7,88,28,69,6
46,120,8,25,63,7,88,27,65,9
68,162,3,31,75,3,79,22,74,3
80,156,3,32,75,2,75,22,76,3
72,172,3,31,74,3,75,21,76,3
80,176,7,31,75,3,83,19,73,3
80,169,3,30,75,3,75,21,76,3
43,136,7,26,64,6,88,28,65,7
53,120,9,25,62,6,87,28,66,7
69,176,4,32,74,4,79,21,75,4
75,183,3,27,74,4,75,21,75,7
79,190,4,32,75,4,75,21,74,3
80,173,3,31,72,2,81,21,76,3
80,130,6,29,73,6,88,25,69,3
46,120,7,25,64,7,89,28,66,6
46,127,7,26,64,7,87,27,68,7
80,208,3,32,75,3,75,22,76,3
80,166,6,33,75,2,87,22,76,3
53,128,8,25,64,8,92,28,68,6
80,178,3,33,75,2,78,20,76,3
43,120,6,25,65,7,86,27,67,7
58,127,7,26,67,7,88,27,68,7
37,120,7,25,64,7,89,27,66,7
40,120,7,25,64,6,86,27,66,6
80,165,5,29,75,2,79,21,76,3
47,120,8,30,60,7,87,26,66,7
76,172,4,31,75,2,75,22,76,3
51,131,7,25,65,6,85,28,68,7
70,172,3,30,70,2,75,22,74,3
79,187,6,31,66,2,86,23,75,5
52,120,7,26,63,7,89,27,69,6
76,134,6,31,72,6,88,25,75,6
79,168,6,31,75,6,77,22,76,3
46,120,8,25,63,8,91,26,68,7
55,120,8,25,65,8,90,28,64,6
69,120,7,32,65,6,89,27,66,6
72,169,7,31,75,4,76,22,74,3
68,161,4,32,71,6,80,22,76,6
77,168,7,31,74,3,75,21,76,5
47,120,7,26,64,8,92,26,69,8
76,126,8,27,73,6,90,22,68,4
71,172,8,31,73,6,87,22,76,3
53,126,8,25,62,7,88,26,66,6
41,135,7,25,66,7,88,27,67,6
64,123,7,25,64,8,86,27,67,6
35,132,8,25,62,7,88,28,67,8
80,192,4,32,75,2,75,21,75,3
53,184,7,31,70,6,86,22,68,7
70,120,8,25,75,6,89,22,74,6
46,120,8,25,63,7,84,28,67,7
80,191,3,32,75,2,77,20,76,3
70,167,3,30,75,4,88,23,76,5
56,120,9,25,60,8,92,26,68,7
61,156,7,31,73,2,86,22,74,4
80,183,4,33,67,3,80,21,73,3
45,123,7,26,63,7,85,28,67,6
45,120,7,25,60,6,89,27,69,7
80,163,3,30,75,2,79,24,76,4
50,138,7,26,62,8,88,28,68,7
80,191,3,34,75,2,75,22,74,3
63,178,7,31,63,7,85,23,76,6
46,160,7,25,65,7,86,27,67,7
78,166,3,32,75,2,75,20,74,3
73,187,7,33,75,5,77,22,75,3
45,120,7,26,66,7,88,28,67,6
77,158,6,30,75,4,86,22,75,3
63,171,3,31,75,3,76,21,76,3
70,178,7,31,64,2,91,22,76,6
80,161,4,32,71,3,87,20,74,4
51,120,8,25,61,6,88,28,66,8
49,121,7,27,66,7,89,26,67,7
79,174,3,32,74,3,75,23,76,3
49,176,7,25,65,6,86,24,69,6
49,168,7,31,72,4,89,25,69,5
79,191,7,32,75,5,79,21,75,3
48,125,7,26,67,6,88,26,68,7
75,179,4,30,75,2,75,21,76,3
77,188,6,29,72,4,89,20,68,3
65,184,7,26,71,6,87,22,70,7
46,140,8,25,65,6,86,27,65,7
51,180,6,25,73,6,87,22,67,4
80,169,3,31,75,2,75,21,76,3
56,133,8,25,65,7,90,26,67,7
44,120,7,25,63,8,87,28,67,7
41,120,8,25,65,7,90,28,70,7
47,122,8,25,65,7,92,28,67,8
49,129,6,28,65,6,88,27,66,7
39,120,7,26,61,6,87,26,66,7
44,135,8,25,64,6,86,27,66,7
71,160,7,31,70,7,75,21,75,4
53,120,8,25,62,7,90,27,68,6
48,122,7,25,62,6,87,26,66,7
48,138,7,26,64,7,88,28,66,7
80,198,3,31,75,3,79,20,76,3
79,167,7,30,75,6,88,19,70,7
64,176,7,31,75,4,79,23,73,6
41,127,7,25,66,7,87,25,64,7
51,120,7,25,63,8,88,27,67,8
48,120,8,25,60,8,92,28,68,7
43,120,7,25,66,7,89,27,68,8
80,205,3,33,72,2,77,21,76,3
47,120,8,25,67,7,90,28,67,6
66,127,7,31,74,7,88,23,75,7
74,124,7,26,64,7,87,27,76,7
50,120,7,25,62,5,89,28,67,6
56,120,8,25,65,7,92,26,66,7
80,167,3,31,75,3,87,21,73,4
44,126,8,25,61,5,88,26,65,7
73,186,6,32,73,5,75,22,75,4
80,189,6,30,71,3,75,22,76,3
